Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Diaporthe phaseolorum isolate A82 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,948,948,99%,0,98.87,577,PQ614824.1
"Diaporthe sp. isolate HNNUZCJ-072 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,948,948,100%,0,98.87,552,OM281072.1
"Diaporthe sp. strain YXD-30 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,948,948,99%,0,98.87,616,OQ469353.1
"Diaporthe arengae isolate SM49 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe arengae,948,948,96%,0,99.81,572,MN651487.1
"Diaporthe phaseolorum isolate TW41 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,948,948,99%,0,98.87,601,MH930432.1
"Diaporthe sp. strain Y2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,946,946,100%,0,98.69,554,MT729935.1
"Phomopsis sp. MTCC 10178 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Phomopsis sp. MTCC 10178,946,946,100%,0,98.87,540,JQ406613.1
"Phomopsis phaseoli isolate kerii3_2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Phomopsis phaseoli,944,944,100%,0,98.69,565,OP070508.1
"Diaporthe phaseolorum isolate HNNUZCJ-088 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,944,944,100%,0,98.69,553,OM281088.1
"Phomopsis sp. C5 genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequence",Phomopsis sp. C5,944,944,100%,0,98.69,570,LC168773.1
"Diaporthe sp. isolate Y74 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,944,944,100%,0,98.69,551,MZ127528.1
"Diaporthe phaseolorum isolate B3190 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,944,944,100%,0,98.69,578,MT043800.1
"Diaporthe phoenicicola strain MFLUCC 24-0414 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phoenicicola,944,944,100%,0,98.69,572,PQ699351.1
"Diaporthe huangshanensis strain CNUCC201903 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe huangshanensis,944,944,100%,0,98.69,556,MN219729.1
"Fungal sp. isolate ARIZ:TV1117 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,944,944,100%,0,98.69,1064,PQ320292.1
"Diaporthe sp. strain DF277 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,944,944,100%,0,98.69,569,OQ657935.1
"Diaporthe phoenicicola strain MFLUCC 24-0425 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phoenicicola,944,944,100%,0,98.69,571,PQ699346.1
"Diaporthe phaseolorum isolate GL-4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,944,944,100%,0,98.69,564,MW867103.1
"Diaporthe sp. isolate GX2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,944,944,100%,0,98.69,558,MW722990.1
"Diaporthe sp. PF7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Diaporthe sp. PF7,942,942,95%,0,100,514,KC213981.1
"Phomopsis phaseoli isolate A19 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Phomopsis phaseoli,942,942,99%,0,98.68,577,PQ614817.1
"Phomopsis sp. 129SD/L 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, region",Phomopsis sp. 129SD/L,942,942,99%,0,98.69,577,GU066691.1
"Diaporthe pseudomangiferae strain ZSD-31 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe pseudomangiferae,942,942,99%,0,98.68,616,OQ469354.1
"Phomopsis sp. 156AH/T 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, region",Phomopsis sp. 156AH/T,942,942,98%,0,99.24,570,GU066708.1
"Diaporthe sp. strain Cbf-11 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,942,942,99%,0,98.68,601,OK242742.1
"Diaporthe phaseolorum isolate GJ-9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,941,941,99%,0,98.86,531,MK429870.1
"Phomopsis sp. isolate ER16 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Phomopsis sp.,941,941,99%,0,98.68,554,MT919183.1
"Diaporthe sennae strain YLX27 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sennae,941,941,100%,0,98.5,558,OM536196.1
"Diaporthe perseae strain PB-49 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe perseae,941,941,97%,0,99.42,573,MK333969.1
"Diaporthe phaseolorum isolate 123AC/T 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, region",Diaporthe phaseolorum,941,941,100%,0,98.5,580,GU066686.1
"Diaporthe phaseolorum isolate 78NL/T 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, region",Diaporthe phaseolorum,941,941,100%,0,98.5,569,GU066651.1
"Diaporthe arengae isolate GM179 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe arengae,941,941,97%,0,99.42,573,OR416457.1
"Fungal sp. isolate ARIZ:TV1240 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1063,PQ320404.1
"Diaporthe bougainvilleicola isolate S2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe bougainvilleicola,939,939,100%,0,98.5,580,MH892830.1
"Fungal endophyte culture-collection STRI:ICBG-Panama:TK1317 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,939,939,100%,0,98.5,1079,KF435355.1
"Diaporthe melitensis isolate ZJUE0263 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe melitensis,939,939,97%,0,99.23,553,ON035594.1
"Diaporthe phaseolorum voucher C3287 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Diaporthe phaseolorum,939,939,100%,0,98.5,551,KF697689.1
"Fungal endophyte culture-collection STRI:ICBG-Panama:TK40 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,939,939,100%,0,98.5,1083,KF435609.1
"Diaporthe phaseolorum strain DF18G small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,939,939,100%,0,98.5,579,OQ657943.1
"Diaporthe sp. 2 KP-2019 isolate 17-DIA-125 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp. 2 KP-2019,939,939,99%,0,98.68,604,MK942683.1
"Diaporthe limonicola strain QHAD-01 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe limonicola,939,939,100%,0,98.5,557,PP496742.1
"Fungal endophyte culture-collection STRI:ICBG-Panama:TK1280 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,939,939,100%,0,98.5,1076,KF436022.1
"Diaporthe sp. strain JQD-41 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,939,939,100%,0,98.5,581,OQ469364.1
"Fungal sp. isolate ARIZ:TV1794 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1065,PQ320865.1
"Fungal sp. isolate ARIZ:TV1936 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1060,PQ320982.1
"Diaporthe sp. strain CY-H small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,939,939,100%,0,98.5,582,MN294467.1
"Phomopsis sp. B1a0851PD2CC468 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Phomopsis sp. B1a0851PD2CC468,939,939,100%,0,98.5,1074,KP306925.1
"Fungal endophyte culture-collection STRI:ICBG-Panama:TK624 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,939,939,100%,0,98.5,1075,KF435610.1
"Fungal sp. SNB-GTC2808 large subunit ribosomal RNA gene, partial sequence",fungal sp. SNB-GTC2808,939,939,100%,0,98.5,548,KF164347.1
"Diaporthe huangshanensis strain CNUCC201904 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe huangshanensis,939,939,100%,0,98.5,557,MN219730.1
"Fungal sp. isolate ARIZ:TV1357 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1066,PQ320520.1
"Fungal endophyte culture-collection STRI:ICBG-Panama:TK1561 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,939,939,100%,0,98.5,1075,KF435286.1
"Diaporthe phaseolorum strain DF14G small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,939,939,100%,0,98.5,580,OQ657940.1
"Fungal sp. isolate ARIZ:TV1053 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1075,PQ320228.1
"Sordariomycetes sp. genotype 190 isolate FL0008 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Sordariomycetes sp. genotype 190,939,939,100%,0,98.5,1066,JQ759884.1
"Fungal sp. isolate ARIZ:TV1189 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1066,PQ320355.1
"Diaporthe perseae isolate yuanwei2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe perseae,939,939,100%,0,98.5,569,MK393872.1
"Fungal sp. isolate ARIZ:TV1587 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1064,PQ320675.1
"Sordariomycetes sp. isolate PS2551 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Sordariomycetes sp.,939,939,100%,0,98.5,1069,MW529231.1
"Fungal sp. isolate ARIZ:TV1626 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1060,PQ320714.1
"Fungal sp. isolate PS0065 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1059,KY775770.1
"Fungal endophyte culture-collection STRI:ICBG-Panama:TK252 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,939,939,100%,0,98.5,1078,KF435233.1
"Fungal endophyte culture-collection STRI:ICBG-Panama:TK1316 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,939,939,100%,0,98.5,1071,KF435457.1
"Fungal sp. isolate ARIZ:TV1502 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1065,PQ320599.1
"Fungal sp. isolate ARIZ:TV1257 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1070,PQ320421.1
"Diaporthe longicolla isolate The Indian Ocean sediments internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe longicolla,939,939,100%,0,98.5,551,MG686131.1
"Fungal endophyte culture-collection STRI:ICBG-Panama:TK521 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,939,939,100%,0,98.5,1077,KF435183.1
"Fungal endophyte culture-collection STRI:ICBG-Panama:TK566 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,939,939,100%,0,98.5,1076,KF435408.1
"Phomopsis sp. DMTMMF 001 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Phomopsis sp. DMTMMF 001,939,939,100%,0,98.5,1656,KJ412330.1
"Diaporthe sp. B1a0081PD2CC16 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Diaporthe sp. B1a0081PD2CC16,939,939,100%,0,98.5,1069,KP263100.1
"Fungal sp. isolate ARIZ:TV1574 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1058,PQ320662.1
"Fungal sp. isolate ARIZ:TV1093 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",fungal sp.,939,939,100%,0,98.5,1064,PQ320268.1
"Colletotrichum sp. isolate PT1952 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Colletotrichum sp.,937,937,99%,0,98.5,840,ON154084.1
"Diaporthe sp. strain ZHKUCC20-0011 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,937,937,99%,0,98.5,577,MT355681.1
"Diaporthe sp. isolate Di7 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,937,937,97%,0,99.23,562,MT102322.1
"Phomopsis phaseoli isolate JP35B-1X small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Phomopsis phaseoli,937,937,99%,0,98.5,574,MG649292.1
"Diaporthe limonicola strain HNHK02 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe limonicola,937,937,98%,0,99.04,543,MN424515.1
"Phomopsis sp. HGGJ-24 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Phomopsis sp. HGGJ-24,937,937,100%,0,98.5,552,KR709018.1
"Diaporthe sp. strain ZHKUCC20-0005 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,937,937,99%,0,98.5,578,MT355675.1
"Diaporthe limonicola strain HNQH02 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe limonicola,937,937,98%,0,99.04,541,MN424525.1
"Diaporthe phaseolorum isolate HS-J-14 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,937,937,97%,0,99.23,565,ON845675.1
"Diaporthe arengae isolate WD-10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe arengae,937,937,98%,0,99.04,560,ON627830.1
"Diaporthe perseae strain PB-50 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe perseae,937,937,96%,0,99.42,571,MK333970.1
"Diaporthe pseudomangiferae isolate STAM703 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Diaporthe pseudomangiferae,937,937,99%,0,98.5,550,KT972130.1
"Diaporthe limonicola strain HNQH03 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe limonicola,937,937,98%,0,99.04,543,MN424526.1
"Diaporthe vexans isolate MBEFBAT8.2C small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe vexans,937,937,99%,0,98.5,603,OQ123549.1
"Diaporthe pseudomangiferae isolate Phomcac8P4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe pseudomangiferae,937,937,99%,0,98.5,601,OL353704.1
"Diaporthe pseudomangiferae isolate Phomcac8P1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe pseudomangiferae,937,937,99%,0,98.5,601,OL353702.1
"Diaporthe pseudomangiferae isolate Phomcac8P3 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe pseudomangiferae,937,937,99%,0,98.5,601,OL353703.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
