Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ceratobasidium sp. AG-Fa strain AGFa isolate YT-5-4-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Ceratobasidium sp. AG-Fa,323,323,95%,2.00E-82,72.04,662,KT265715.1
"Ceratobasidium sp. AG-Fa strain AGFa isolate J-3-7-4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Ceratobasidium sp. AG-Fa,323,323,95%,2.00E-82,72.04,658,KT265714.1
Ceratobasidium sapphoae BRIP 27716a ITS region; from TYPE material,Ceratobasidium sapphoae,320,320,96%,5.00E-82,71.84,664,NR_198842.1
"Ceratobasidium sp. isolate FJR57 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,318,318,95%,2.00E-81,71.74,636,MN328248.1
"Ceratobasidium sp. isolate FJR57 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,318,318,95%,2.00E-81,71.74,636,MN328246.1
"Rhizoctonia solani AG-Fa isolate SPM1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani AG-Fa,318,318,97%,2.00E-81,71.75,715,KX674533.1
"Rhizoctonia solani isolate RSzA6.seq small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani,318,318,96%,2.00E-81,71.78,683,MW369735.1
"Ceratobasidium sp. isolate 268 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,316,316,93%,7.00E-81,72.03,644,PQ362741.1
"Ceratobasidium sp. Rcr208 genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequence",Ceratobasidium sp.,316,316,93%,7.00E-81,72.03,631,LC507900.1
"Ceratobasidium sp. AG-F isolate Str56 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,316,316,96%,7.00E-81,71.9,711,DQ102438.1
"Ceratobasidium sp. AG-F strain CIMAP MA111 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,315,315,96%,2.00E-80,71.58,682,KC193238.1
"Ceratobasidium sp. AG-P isolate BsJ-061411 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Ceratobasidium sp. AG-P,314,314,96%,8.00E-80,71.62,683,KJ834072.1
"Ceratorhiza sp. 7f-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratorhiza sp. 7f-1,314,314,96%,8.00E-80,71.62,678,KF171075.1
"Ceratobasidium sp. AG-Fa isolate Y1053 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-Fa,314,314,96%,8.00E-80,71.62,685,JX913818.1
"Ceratobasidium sp. BAGF101 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Ceratobasidium sp. BAGF101,314,314,96%,8.00E-80,71.54,775,HQ168370.1
"Rhizoctonia sp. isolate CNPAF_0261 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia sp.,313,313,97%,8.00E-80,71.62,651,KX468838.1
"Ceratobasidium sp. AG-F isolate HuN-1-1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,313,313,96%,8.00E-80,71.75,686,KF176582.1
"Ceratobasidium sp. AG-F isolate Str51 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,313,313,96%,8.00E-80,71.75,710,DQ102437.1
"Rhizoctonia sp. isolate Pep35 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia sp.,312,312,97%,3.00E-79,71.49,666,PQ594791.1
"Rhizoctonia solani isolate RsFL small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani,312,312,96%,3.00E-79,71.67,687,ON406153.1
"Ceratobasidium sp. Rrr156 genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequence",Ceratobasidium sp.,311,311,92%,3.00E-79,71.99,621,LC507896.1
"Rhizoctonia sp. PVF19 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia sp. PVF19,310,310,96%,1.00E-78,71.54,642,KU831508.1
"Ceratobasidium sp. AG-F isolate Str52 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,310,310,96%,1.00E-78,71.71,709,DQ102436.1
"Ceratobasidium sp. NCHU-SRs0-5 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete seqences",Ceratobasidium sp.,309,309,96%,1.00E-78,71.47,942,LC480923.1
Ceratobasidium myrtisiae BRIP 44989a ITS region; from TYPE material,Ceratobasidium myrtisiae,309,309,96%,1.00E-78,71.65,659,NR_198840.1
"Ceratobasidium sp. AG-Fa isolate Y1058 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-Fa,309,309,96%,1.00E-78,71.47,685,JX913820.1
"Ceratobasidium sp. AG-F isolate Str111 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,309,309,96%,1.00E-78,71.47,706,DQ102433.1
"Rhizoctonia solani strain Rae354 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia solani,308,308,96%,3.00E-78,71.32,684,AY684921.1
"Ceratobasidium sp. AG-F isolate Str55 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,308,308,96%,3.00E-78,71.6,710,DQ102439.1
"Rhizoctonia solani isolate Aqeel3 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani,307,307,97%,3.00E-78,71.45,717,MH520072.1
"Rhizoctonia solani isolate AV4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani,307,307,95%,3.00E-78,71.43,668,MH517362.1
"Ceratobasidium sp. AG-Fa isolate Y1055 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-Fa,307,307,96%,3.00E-78,71.52,686,JX913819.1
"Ceratobasidium sp. isolate CFC-0119 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,306,306,95%,1.00E-77,71.45,659,MW186474.1
"Ceratobasidium sp. AG-Fa isolate Y1089 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-Fa,306,306,96%,1.00E-77,71.28,684,JX913826.1
"Ceratobasidium sp. AG-Fa isolate Y1064 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-Fa,306,306,96%,1.00E-77,71.28,684,JX913821.1
"Rhizoctonia solani isolate RUPP93 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia solani,306,306,89%,1.00E-77,72.25,735,JF701784.1
"Ceratobasidium sp. AGF 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,306,306,96%,1.00E-77,71.23,1524,AF354085.1
"Ceratobasidium sp. isolate ITS1FPSGBT20 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,305,305,96%,4.00E-77,71.6,697,MT522866.1
"Rhizoctonia solani isolate GPB small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani,305,305,95%,4.00E-77,71.49,664,MK621284.1
"Ceratobasidium sp. isolate KARS02_1_19 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp.,305,305,95%,4.00E-77,71.49,679,KX118357.1
"Ceratobasidium sp. AG-F isolate A-Ks1R-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,305,305,95%,4.00E-77,71.49,641,OQ878349.1
"Ceratobasidium sp. strain AG F isolate DB30 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,305,305,96%,4.00E-77,71.32,712,OM045902.1
"Ceratobasidium sp. AG-F isolate A-D7R-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,303,303,95%,1.00E-76,71.45,648,OQ878376.1
"Ceratobasidium sp. strain AG F isolate DB115 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,303,303,96%,1.00E-76,71.36,688,OM045907.1
"Ceratobasidium sp. strain AG F isolate DB87 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,303,303,96%,1.00E-76,71.36,689,OM045906.1
"Ceratobasidium sp. isolate CFC-0123 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,303,303,95%,1.00E-76,71.45,659,MW186477.1
"Ceratorhiza sp. R1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratorhiza sp. R1,303,303,95%,1.00E-76,71.45,678,KF171074.1
"Ceratobasidium sp. SRs21-1 genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequence",Ceratobasidium sp.,303,303,93%,1.00E-76,71.79,627,LC507907.1
"Rhizoctonia sp. AG-F isolate bR 137 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Rhizoctonia sp. AG-F,302,302,87%,1.00E-76,72.34,592,MK442087.1
"Ceratobasidium sp. isolate CFC-0404 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,302,302,95%,1.00E-76,71.3,660,MW186479.1
"Rhizoctonia solani isolate RhCh-14 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani,301,301,95%,5.00E-76,71.41,658,MK027051.1
"Ceratobasidium sp. clone Azerbaijan strain_41RH internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,301,301,93%,5.00E-76,71.61,624,MH819799.1
"Ceratobasidium sp. strain AG F isolate DB29 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,301,301,95%,5.00E-76,71.32,678,OM045901.1
"Rhizoctonia solani isolate IQ30 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia solani,301,301,91%,5.00E-76,71.89,628,KF372657.1
"Rhizoctonia sp. S9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia sp. S9,301,301,96%,5.00E-76,71.41,682,KC709576.1
"Ceratobasidium sp. isolate SIR1 SV3 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,300,300,93%,5.00E-76,71.43,678,OR471276.1
"Ceratobasidium sp. isolate SIR1 SV2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,300,300,93%,5.00E-76,71.43,678,OR471275.1
"Rhizoctonia solani isolate RKLC1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia solani,300,300,95%,5.00E-76,71.27,722,JF701742.1
"Uncultured soil basidiomycete clone A9 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",uncultured Basidiomycota,300,300,96%,5.00E-76,71.36,682,DQ672282.1
"Ceratobasidium sp. strain AG F isolate DB20 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,300,300,95%,5.00E-76,71.34,665,OM045900.1
"Ceratobasidium sp. isolate CFC-0118 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,300,300,96%,5.00E-76,71.34,676,MW186473.1
"Ceratobasidium sp. AG-F isolate Str10 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,300,300,96%,5.00E-76,71.17,707,DQ102434.1
"Ceratobasidium sp. isolate CFC-0904 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,299,299,92%,2.00E-75,71.29,627,MT159544.1
"Ceratobasidium sp. isolate SIR1 SV4 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,298,298,93%,2.00E-75,71.47,679,OR471277.1
"Rhizoctonia solani isolate RS internal transcribed spacer region, partial sequence",Rhizoctonia solani,298,298,93%,2.00E-75,71.47,628,ON254094.1
"Rhizoctonia solani isolate IQ49 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia solani,298,298,93%,2.00E-75,71.47,641,KF372653.1
"Ceratobasidium sp. DioscoreaRs genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequence",Ceratobasidium sp.,298,298,93%,2.00E-75,71.47,630,LC507894.1
"Ceratobasidium sp. AG-Fa genes for ITS1, 5.8S rRNA, ITS2",Ceratobasidium sp. AG-Fa,298,298,93%,2.00E-75,71.47,633,AB219144.1
"Ceratobasidium sp. AG-P isolate BsJ-0681 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Ceratobasidium sp. AG-P,297,297,96%,6.00E-75,71.08,683,KJ834071.1
"Ceratobasidium sp. isolate CFC-0922 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,297,297,92%,6.00E-75,71.59,639,MT159553.1
"Ceratobasidium sp. strain AG F isolate DB38 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,297,297,95%,6.00E-75,71.25,680,OM045903.1
"Ceratobasidium sp. isolate SIR1 SV1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,296,296,93%,2.00E-74,71.27,678,OR471274.1
"Rhizoctonia solani isolate RKNG9 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia solani,296,296,95%,2.00E-74,71.12,688,JF701745.1
"Ceratobasidium sp. isolate DH-J-06-14-11 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,295,295,95%,2.00E-74,71.21,630,PP796412.1
"Ceratobasidium sp. AG-F isolate Str47 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,294,294,96%,8.00E-74,71.43,713,DQ102441.1
"Ceratobasidium sp. isolate ITS4PSGBT20 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Ceratobasidium sp.,293,293,87%,8.00E-74,71.91,697,MT522873.1
"Ceratobasidium sp. isolate FJR58 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Ceratobasidium sp.,293,293,88%,8.00E-74,71.66,595,MN328249.1
"Ceratobasidium sp. isolate FJR58 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Ceratobasidium sp.,293,293,88%,8.00E-74,71.66,595,MN328247.1
"Ceratobasidium sp. strain TB8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,293,293,92%,8.00E-74,71.43,618,OP444240.1
"Rhizoctonia solani isolate RS2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani,293,293,92%,8.00E-74,71.43,615,MW717916.1
"Rhizoctonia solani isolate IQ23 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia solani,293,293,92%,8.00E-74,71.43,628,KF372645.1
"Rhizoctonia solani strain MML4001 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizoctonia solani,293,293,93%,8.00E-74,71.34,623,JX535004.1
"Ceratobasidium sp. isolate CNPAF_0269 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,292,292,93%,3.00E-73,71.43,640,KX468840.1
"Ceratobasidium sp. isolate Pep38 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,291,291,94%,3.00E-73,71.03,627,PQ106573.1
"Ceratobasidium sp. AG-F isolate Str46 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,291,291,96%,3.00E-73,71.06,712,DQ102440.1
"Rhizoctonia solani isolate T5-2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani,290,290,89%,9.00E-73,71.69,655,PP778676.1
"Rhizoctonia solani isolate Strain_SCYF3_Rhiz_sol internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Rhizoctonia solani,290,290,89%,9.00E-73,71.69,636,ON791241.1
"Rhizoctonia solani isolate A1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Rhizoctonia solani,290,290,89%,9.00E-73,71.69,640,ON055272.1
"Rhizoctonia solani isolate F9-Fa internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Rhizoctonia solani,290,290,89%,9.00E-73,71.69,621,OL762328.1
"Rhizoctonia solani isolate Strain_SCYF9_Rhiz_sol internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Rhizoctonia solani,288,288,87%,3.00E-72,71.74,637,ON791234.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
"		",,,,,,,,
